YEAR,ANN_AVG_TEMP,ANN_AVG_PREC
1922,21.17390621,988.3457838
1923,21.37548841,1021.707885
1924,21.21891175,957.1048786
1925,21.17717525,1048.043631
1926,21.70388425,964.4034913
1927,21.65994033,969.1745215
1928,21.79847969,991.9780138
1929,21.24970036,951.0869849
1930,21.7236203,1038.285532
1931,22.01864984,972.974998
1932,21.65440502,1022.831726
1933,21.80267808,1013.323963
1934,21.32745246,975.6851537
1935,21.97525029,971.975114
1936,21.557274,951.0422506
1937,22.18865073,990.0420187
1938,22.17634513,979.1343052
1939,21.63088343,1041.911391
1940,22.01352209,1030.187635
1941,22.06804759,1029.458178
1942,21.6989187,958.2271251
1943,21.76209239,1024.276017
1944,21.74286881,1003.388221
1945,21.71438902,1011.424858
1946,21.74480178,1046.697164
1947,22.20091707,1005.147874
1948,21.60129893,989.7638009
1949,22.39536162,1028.393694
1950,22.46084029,981.1919713
1951,21.60533241,964.9504852
1952,21.86043388,1028.097849
1953,22.23890524,955.341778
1954,21.91080704,961.4519457
1955,22.39560108,961.2410076
1956,22.03135343,1013.821733
1957,21.96100556,1043.926364
1958,22.50939444,997.5782208
1959,22.40777851,1036.053576
1960,21.7336084,990.0225129
1961,22.47282577,960.2703185
1962,21.75361327,1044.522109
1963,21.85549702,1049.513655
1964,21.76453303,958.1647614
1965,22.1919958,1006.744357
1966,22.05139957,1025.095903
1967,21.82635349,1001.076254
1968,22.72570543,1044.342578
1969,22.2509562,1043.616024
1970,22.49252216,1000.323749
1971,22.38284934,1045.427591
1972,22.30434093,979.5788485
1973,22.1651214,972.4507106
1974,22.15919615,1000.872521
1975,22.00038843,984.7374697
1976,22.80454044,1034.333451
1977,22.09449351,957.3212635
1978,22.6242038,979.8563021
1979,22.47842345,961.6925251
1980,22.77089997,1046.386014
1981,22.95274482,1016.104407
1982,22.75340794,1023.829723
1983,22.15081794,1036.553241
1984,22.64154204,980.5146617
1985,22.70862411,1047.809367
1986,22.14607288,1005.130044
1987,22.9505251,967.3269401
1988,22.72171497,1046.89186
1989,22.69571331,952.3058101
1990,22.52500584,972.5753911
1991,23.08583914,979.5595502
1992,23.02387015,1033.33211
1993,22.80249079,1028.844544
1994,22.56307345,961.564749
1995,22.92769415,998.0108095
1996,22.55630133,951.1630701
1997,22.51748329,998.5737886
1998,23.1675745,999.181967
1999,22.72909257,968.2074645
2000,23.20475478,980.8594201
2001,23.11062442,957.6449273
2002,22.72565943,1011.373069
2003,22.70267676,1004.698251
2004,22.40486913,1012.947888
2005,22.5988192,997.4477944
2006,23.19900114,970.1644818
2007,22.88610225,1024.437782
2008,23.25029532,1038.526227
2009,23.18579134,957.1320592
2010,22.81319667,994.0592701
2011,23.11747608,1036.387289
2012,23.04816917,1014.107916
2013,22.77091705,1012.990506
2014,23.18304361,986.2892385
2015,23.02196811,999.9291877
2016,22.65931002,1014.274842
2017,23.48824351,995.7144327
2018,23.28416809,994.883885
2019,23.12817458,1021.067715
2020,23.00325468,1011.137961
2021,23.25045939,984.5439997
2022,23.48764973,1018.859055
2023,23.44576216,1042.010491
